MODL,REPL,MULT,DIST,TREE,ESTI_LNTH,ESTI_DPTH,TRUE_LNTH,TRUE_DPTH
100M3,R0.0,1.0,JC,NJ,0.830411923967,0.830411923967,NA,NA
100M3,R0.0,1.0,JC,NJ,0.284355896363,1.11476782033,NA,NA
100M3,R0.0,1.0,JC,NJ,0.450142348368,1.5649101687,NA,NA
100M3,R0.0,1.0,JC,NJ,0.112220544415,1.67713071311,NA,NA
100M3,R0.0,1.0,JC,NJ,0.032249600005,1.70938031312,NA,NA
100M3,R0.0,1.0,JC,NJ,0.006927104865,1.71630741798,NA,NA
100M3,R0.0,1.0,JC,NJ,0.088100549953,1.80440796794,NA,NA
100M3,R0.0,1.0,JC,NJ,0.118546105644,1.92295407358,NA,NA
100M3,R0.0,1.0,JC,NJ,0.28443809528,2.20739216886,NA,NA
100M3,R0.0,1.0,JC,NJ,1.09899107215,3.30638324101,NA,NA
100M3,R0.0,1.0,JC,NJ,0.959734999076,3.16712716794,NA,NA
100M3,R0.0,1.0,JC,NJ,0.70973658021,2.63269065379,NA,NA
100M3,R0.0,1.0,JC,NJ,0.744508733341,3.37719938713,NA,NA
100M3,R0.0,1.0,JC,NJ,0.587353646887,3.22004430068,NA,NA
100M3,R0.0,1.0,JC,NJ,0.111964348052,1.91637231599,NA,NA
100M3,R0.0,1.0,JC,NJ,0.394764298191,2.31113661418,NA,NA
100M3,R0.0,1.0,JC,NJ,0.230567453528,2.54170406771,NA,NA
100M3,R0.0,1.0,JC,NJ,0.608988887216,3.15069295492,NA,NA
100M3,R0.0,1.0,JC,NJ,0.282077515739,3.43277047066,NA,NA
100M3,R0.0,1.0,JC,NJ,0.514073465496,3.0557775332,NA,NA
100M3,R0.0,1.0,JC,NJ,1.08145896429,3.39259557847,NA,NA
100M3,R0.0,1.0,JC,NJ,0.461066318393,2.37743863438,NA,NA
100M3,R0.0,1.0,JC,NJ,0.941314042149,3.31875267653,NA,NA
100M3,R0.0,1.0,JC,NJ,0.559548672528,2.93698730691,NA,NA
100M3,R0.0,1.0,JC,NJ,0.388836656816,3.32582396372,NA,NA
100M3,R0.0,1.0,JC,NJ,0.184084569043,1.90039198703,NA,NA
100M3,R0.0,1.0,JC,NJ,0.407829176196,2.30822116322,NA,NA
100M3,R0.0,1.0,JC,NJ,0.413745142498,2.72196630572,NA,NA
100M3,R0.0,1.0,JC,NJ,0.393116566521,3.11508287224,NA,NA
100M3,R0.0,1.0,JC,NJ,0.652220316797,3.37418662252,NA,NA
100M3,R0.0,1.0,JC,NJ,0.826401245638,3.13462240886,NA,NA
100M3,R0.0,1.0,JC,NJ,0.49007796024,2.39046994727,NA,NA
100M3,R0.0,1.0,JC,NJ,0.875902012409,3.26637195967,NA,NA
100M3,R0.0,1.0,JC,NJ,0.779916318888,3.17038626615,NA,NA
100M3,R0.0,1.0,JC,NJ,0.00588378985,1.71526410297,NA,NA
100M3,R0.0,1.0,JC,NJ,0.053082665232,1.7683467682,NA,NA
100M3,R0.0,1.0,JC,NJ,0.05291307444,1.82125984264,NA,NA
100M3,R0.0,1.0,JC,NJ,0.113330325206,1.93459016785,NA,NA
100M3,R0.0,1.0,JC,NJ,0.430459217571,2.36504938542,NA,NA
100M3,R0.0,1.0,JC,NJ,0.790120476744,3.15516986216,NA,NA
100M3,R0.0,1.0,JC,NJ,0.093443845526,3.24861370769,NA,NA
100M3,R0.0,1.0,JC,NJ,0.727445894132,3.09249527955,NA,NA
100M3,R0.0,1.0,JC,NJ,0.187753555995,3.28024883554,NA,NA
100M3,R0.0,1.0,JC,NJ,0.45978274386,3.7400315794,19.0262,146.2195
100M3,R0.0,1.0,JC,NJ,0.937729103984,2.87231927183,NA,NA
100M3,R0.0,1.0,JC,NJ,0.183325327664,2.0045851703,NA,NA
100M3,R0.0,1.0,JC,NJ,0.339250688297,2.3438358586,NA,NA
100M3,R0.0,1.0,JC,NJ,0.968536373388,3.31237223199,NA,NA
100M3,R0.0,1.0,JC,NJ,0.526709923125,2.87054578173,NA,NA
100M3,R0.0,1.0,JC,NJ,0.259383789336,2.26396895964,NA,NA
100M3,R0.0,1.0,JC,NJ,0.712971557212,2.97694051685,NA,NA
100M3,R0.0,1.0,JC,NJ,0.377314904026,2.64128386367,NA,NA
100M3,R0.0,1.0,JC,NJ,0.588640140788,3.22992400445,NA,NA
100M3,R0.0,1.0,JC,NJ,0.185565313139,3.41548931759,NA,NA
100M3,R0.0,1.0,JC,NJ,0.374677987528,3.01596185119,NA,NA
100M3,R0.0,1.0,JC,NJ,0.302470541399,2.0708173096,NA,NA
100M3,R0.0,1.0,JC,NJ,0.456388352545,2.52720566214,NA,NA
100M3,R0.0,1.0,JC,NJ,0.724406064707,3.25161172685,NA,NA
100M3,R0.0,1.0,JC,NJ,0.589573821804,3.11677948395,NA,NA
100M3,R0.0,1.0,JC,NJ,1.07771946076,3.14853677036,NA,NA
100M3,R0.0,1.0,JC,NJ,0.126329284671,1.84159338764,NA,NA
100M3,R0.0,1.0,JC,NJ,0.22784514547,2.06943853311,NA,NA
100M3,R0.0,1.0,JC,NJ,0.82738686906,2.89682540217,NA,NA
100M3,R0.0,1.0,JC,NJ,0.127176163728,3.0240015659,NA,NA
100M3,R0.0,1.0,JC,NJ,1.23426061066,3.30369914376,NA,NA
100M3,R0.0,1.0,JC,NJ,0.097387359123,1.93898074676,NA,NA
100M3,R0.0,1.0,JC,NJ,1.22789041224,3.166871159,NA,NA
100M3,R0.0,1.0,JC,NJ,0.455737643401,2.39471839016,NA,NA
100M3,R0.0,1.0,JC,NJ,0.816884642639,3.2116030328,NA,NA
100M3,R0.0,1.0,JC,NJ,0.315076973058,3.52668000586,5.3462,92.6647
100M3,R0.0,1.0,JC,NJ,0.697077287095,3.09179567726,NA,NA
100M3,R0.0,1.0,JC,NJ,0.080066551723,1.75719726484,NA,NA
100M3,R0.0,1.0,JC,NJ,0.284394853987,2.04159211882,NA,NA
100M3,R0.0,1.0,JC,NJ,0.542670808564,2.58426292739,NA,NA
100M3,R0.0,1.0,JC,NJ,0.636525728515,3.2207886559,NA,NA
100M3,R0.0,1.0,JC,NJ,0.587246620488,3.17150954787,NA,NA
100M3,R0.0,1.0,JC,NJ,0.992025873154,3.03361799198,NA,NA
100M3,R0.0,1.0,JC,NJ,0.246731235614,2.00392850045,NA,NA
100M3,R0.0,1.0,JC,NJ,0.889167084333,2.89309558478,NA,NA
100M3,R0.0,1.0,JC,NJ,0.518326777379,3.41142236216,NA,NA
100M3,R0.0,1.0,JC,NJ,0.486396992109,3.37949257689,NA,NA
100M3,R0.0,1.0,JC,NJ,0.333104116655,2.3370326171,NA,NA
100M3,R0.0,1.0,JC,NJ,0.748524532896,3.08555715,NA,NA
100M3,R0.0,1.0,JC,NJ,0.142548739468,3.22810588947,NA,NA
100M3,R0.0,1.0,JC,NJ,0.652001263188,3.73755841319,19.6458,102.0752
100M3,R0.0,1.0,JC,NJ,0.753319212541,3.09035182965,NA,NA
100M3,R0.0,1.0,JC,NJ,0.151233109413,1.71614327811,NA,NA
100M3,R0.0,1.0,JC,NJ,0.204831806186,1.9209750843,NA,NA
100M3,R0.0,1.0,JC,NJ,0.446392201884,2.36736728618,NA,NA
100M3,R0.0,1.0,JC,NJ,0.415898578131,2.78326586431,NA,NA
100M3,R0.0,1.0,JC,NJ,0.924234417324,2.84520950162,NA,NA
100M3,R0.0,1.0,JC,NJ,0.168573855754,1.88471713386,NA,NA
100M3,R0.0,1.0,JC,NJ,0.978081992148,2.86279912601,NA,NA
100M3,R0.0,1.0,JC,NJ,1.00956126685,2.89427840071,NA,NA
100M3,R0.0,1.0,JC,NJ,0.851077821635,1.96584564197,NA,NA
100M3,R0.0,1.0,JC,NJ,0.21478307977,2.18062872174,9.3066,158.018
100M3,R0.0,1.0,JC,NJ,0.730568592104,1.56098051607,NA,NA
